@relation targetAtiva-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R1-4

@attribute CCLA_MED numeric
@attribute Cda_MED numeric
@attribute CE_MED numeric
@attribute CHINa_MED numeric
@attribute CLCA_MED numeric
@attribute COMBa_MED numeric
@attribute COMBAa_MED numeric
@attribute CT_CP_MED numeric
@attribute Daa_MED numeric
@attribute Dca_MED numeric
@attribute Dma_MED numeric
@attribute ENDIV_MED numeric
@attribute FUTLa_MED numeric
@attribute GAFa_MED numeric
@attribute GAOa_MED numeric
@attribute GATa_MED numeric
@attribute GIROAa_MED numeric
@attribute GLCAa_MED numeric
@attribute ILNCG_MED numeric
@attribute IMOB_RECa_MED numeric
@attribute INTWOa_MED numeric
@attribute LAA_MED numeric
@attribute LC_MED numeric
@attribute LG_MED numeric
@attribute NCGA_MED numeric
@attribute NCGRa_MED numeric
@attribute NITAa_MED numeric
@attribute OENEG_MED numeric
@attribute PLCT_MED numeric
@attribute PMCRa_MED numeric
@attribute PMPEa_MED numeric
@attribute Raa_MED numeric
@attribute RPLa_MED numeric
@attribute SIZE_MED numeric
@attribute TA_MED numeric
@attribute TLTA_MED numeric
@attribute Tra_MED numeric
@attribute VAR_LL_T_1ANOa_MED numeric
@attribute VAR_REC_T_1ANOa_MED numeric
@attribute WCTA_MED numeric
@attribute DIF_EM_MED numeric
@attribute Target {0,1}

@data
0.060646,0.284371,0.409838,1,0.758322,1.287953,1.424939,0.865838,0.608088,0,0.670644,0.464048,0.116634,0.0731,18.272382,7.892932,0.126696,0.048549,0.01388,2.178311,0,0.366658,1.318702,1.516617,0.091619,0.625546,0.003562,0,1.154951,19.403335,83.165336,0.090961,0.005316,5.161157,0.004262,0.464048,0.034918,-0.151304,-0.029389,0.060646,1,0
-0.163277,0.192475,0.741101,-1,1.219628,0.901894,0.930675,-4.179851,0.211232,0.002883,0.725879,1.271655,0,7.078511,-1.614398,0.257968,3.876457,0,-0.451001,0.072926,0,-0.349069,0.819922,0.588023,-0.019489,-0.010016,0,1,-0.213623,47.415105,24.720325,0.569898,4.034032,3.392429,-0.079249,1.271655,-0.009792,-2.015273,0.202073,-0.163277,1,0
0.385766,0.028334,1,0,0.487635,0.538592,0.541051,0.637892,0.331495,0.002024,0.210248,0.360597,5.652408,-0.069536,1.24949,0.227862,4.403087,1.685899,0.099755,0.060101,0.5,0.496947,2.433281,2.433281,0.379529,0.087018,-0.023314,0,2.231873,46.889399,0,2.857701,-0.24351,2.727041,0.047376,0.360597,0.01675,-0.684699,-0.080287,0.385766,1,0
0.482061,0.052842,0.352999,1,0.238985,0.987407,0.949188,0.750856,0.158797,0.02599,0.774355,0.428851,0.396255,0.818245,0.901058,0.603868,1.655992,0.184796,8.739347,0.060618,0,0.32453,4.184358,1.594018,-0.064233,-0.036982,0.184529,0,1.331813,13.329601,1.376248,0.423873,0.345791,4.487808,0.546689,0.428851,0.303631,0.331724,0.161966,0.482061,1,0
0.346727,0.10015,1,1,0.629044,0.897933,0.904453,0.80066,0.174129,0.010258,0.650335,0.587958,0.448366,0.330638,0.443557,0.370331,2.700285,0.309476,0.078199,0.025138,0,0.341639,1.589715,1.589715,-0.035928,-0.008006,0.122377,0,0.700802,23.960735,8.302225,0.806036,0.195852,3.37405,0.034481,0.587958,0.007684,-0.034005,0.752388,0.346727,1,0
0.479447,0.075685,0.748038,1,0.437722,0.786766,0.780913,1.853091,0.269583,0.013197,0.461571,0.699829,0.822364,0.321663,0.184922,0.18764,5.329344,0.792069,1.907544,0.020076,0,0.285379,2.284554,1.322498,0.022756,0.004689,0.192626,0,0.42892,20.649944,1.870258,2.273969,0.319683,3.563412,0.41385,0.699829,0.074133,-0.010472,0.289001,0.479447,1,0
-0.368119,0.309247,0.764487,1,3.375795,1.063096,1.092303,2.210565,0.531051,0.04537,0.438442,0.688528,0.038058,-0.037049,-1.230943,0.345554,2.893906,0.025553,-0.131589,0.287204,0,0.062078,0.296227,0.24217,-0.213217,-0.07694,-0.013751,0,0.452373,21.306829,32.967344,1.455709,-0.04185,4.304795,-0.042808,0.688528,-0.01546,-0.322801,0.114206,-0.368119,1,0
-0.176367,0.372538,0.742732,-1,1.290673,0.793123,-8.325934,12.816504,0.793123,0,0,0.927623,0.179882,-0.099733,?,0.868467,1.151454,0.166863,0.11916,0.070414,1,-0.322732,0.77479,0.871855,-0.236315,0.554278,-0.011328,0,0.078024,229.827215,?,1.56937,-0.156517,2.836646,0.028159,0.927623,-0.423267,-2.517675,?,-0.176367,1,0
0.861689,0.919543,1,1,0.127564,0.890491,0.899532,0.14421,0.075986,0.010022,0.808687,0.126034,1.385504,0.617986,1.701907,0.372547,2.684228,0.170097,15.303308,0.00441,0,0.817462,7.839188,7.839188,0.000195,0.000073,0.130541,0,6.93434,27.537611,11.976087,0.401129,0.14881,3.157509,0.830986,0.126034,0.22771,-0.203335,0.037637,0.861689,1,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,1,0
